Healthy State,,,,,,,,,,,,,Damaged State,,,,,,,,,
xl,Pl,xr,Pr,exx_l,eyy_l,exy_l,exx_r,eyy_r,exy_r,,,,xl,Pl,xr,Pr,exx_l,eyy_l,exy_l,exx_r,eyy_r,exy_r
595,73.575,998,196.2,-60.9,12,-10.1,-73.9,17.5,-6.4,,,,585,0,972,137.34,-27.7,4.6,-0.9,-31.4,6.5,-0.9
617,83.385,957,98.1,-60,10.15,0.05,-63.7,13.9,0,,,,607,44.145,938,103.005,-38.8,9.2,-3.6,-48,11.1,-5.5
671,88.29,1024,137.34,-89.5,21.2,3.9,-108,27.7,-0.9,,,,597,49.05,977,132.435,-39.7,11.1,-8.4,-54.5,12,0.1
637,93.195,973,215.82,-72,25.7,-3.5,-85.9,23,1.9,,,,623,49.05,997,147.15,-41.5,9.2,-2.7,-52.6,12.9,0.9
614,93.195,1005,78.48,-112.6,20.3,5.5,-125.5,34.2,0.9,,,,590,63.765,956,152.055,-58.2,12.9,0.9,-68.3,15.7,-4.6
634,107.91,986,112.815,-73.9,21.2,-0.9,-96.9,26.8,3.7,,,,643,68.67,971,107.91,-48,9.2,3.8,-54.5,18.9,-6.8
604,117.72,1007,127.53,-91.4,36.9,4.7,-98.8,25.9,0.9,,,,595,73.575,998,196.2,-77.5,6.5,10,-74.7,13.9,-2
687,127.53,954,122.625,-126.5,26.8,-9.3,-139.4,35.1,-2.7,,,,675,73.575,976,122.625,-49.9,15.7,-0.8,-58.2,13.9,-3.7
657,127.53,952,201.105,-126.5,31.4,21.3,-157.8,41.5,1.9,,,,695,78.48,1046,147.15,-50.8,12,-1.8,-56.3,12.9,-4.6
726,132.435,994,127.53,-120.9,25.9,8.2,-139.4,32.3,9.3,,,,617,83.385,957,98.1,-49.9,10.2,-2.7,-60.9,13.9,-6.6
644,132.435,1031,166.77,-53.5,18.5,3.6,-61.9,18.5,6.4,,,,676,83.385,981,127.53,-52.6,12,-1.8,-61.9,12.9,-6.4
632,132.435,949,98.1,-54.5,18.5,-15.8,-63.7,14.8,-2.9,,,,671,88.29,1024,137.34,-57.2,8.3,6.5,-62.8,14.8,-5.6
714,137.34,922,152.055,-71.1,20.3,-8.4,-92.3,24,7.3,,,,637,93.195,973,215.82,-75.7,13.9,2.6,-89.5,21.2,-12.9
633,142.245,987,156.96,-67.4,13.9,-29.7,-76.6,18.5,-6.5,,,,614,93.195,1005,78.48,-56.3,10.2,22.1,-60,13.9,11.1
613,161.865,965,196.2,-72,19.4,2.8,-83.1,20.3,0,,,,639,98.1,925,215.82,-81.2,18.5,5.5,-97.9,24.9,-6.4
622,171.675,960,63.765,-67.4,17.5,0.1,-83.1,21.1,1,,,,577,98.1,948,230.535,-87.7,22.2,37.7,-103.4,19.4,13.8
